Name;r;g;b;color;h;s;l
R/V;231;47;39;;0,006944444;0,8;0,529411765
R/S;195;42;36;;0,006269592;0,69197397;0,451960784
R/B;236;100;84;;0,01760176;0,795275591;0,626470588
R/P;243;158;140;;0,028455285;0,803921569;0,75
R/Vp;244;215;200;;0,054924242;0,666666667;0,870588235
R/Lgr;210;181;171;;0,040598291;0,302325581;0,747058824
R/L;224;135;115;;0,030721966;0,632653061;0,66372549
R/Gr;177;138;129;;0,03125;0,235294118;0,6
R/Dl;165;97;78;;0,035440613;0,358024691;0,476470588
R/Dp;169;27;43;;0,981807512;0,724489796;0,384313725
R/Dk;111;27;40;;0,973214286;0,613138686;0,268627451
R/Dgr;71;24;34;;0,966312057;0,494736842;0,18627451
YR/V;242;132;30;;0,080188679;0,890756303;0,533333333
YR/S;221;131;24;;0,090754877;0,803680982;0,479411765
YR/B;245;161;58;;0,091354724;0,903381643;0,594117647
YR/P;247;181;104;;0,08974359;0,899371069;0,688235294
YR/Vp;250;217;172;;0,097222222;0,876404494;0,825490196
YR/Lgr;212;189;154;;0,0997151;0,404844291;0,716666667
YR/L;223;150;97;;0,070767196;0,659685864;0,625490196
YR/Gr;167;135;115;;0,064724919;0,225382932;0,551960784
YR/Dl;171;109;69;;0,065359477;0,425;0,470588235
YR/Dp;168;85;27;;0,069148936;0,726804124;0,380392157
YR/Dk;117;63;25;;0,06884058;0,65248227;0,276470588
YR/Dgr;75;44;24;;0,06372549;0,515151515;0,194117647
Y/V;252;206;16;;0,134465676;0,971134021;0,524509804
Y/S;217;179;15;;0,135313531;0,870689655;0,454901961
Y/B;253;221;30;;0,142803878;0,982417582;0,553921569
Y/P;253;231;102;;0,142384106;0,967948718;0,694117647
Y/Vp;250;240;190;;0,138655462;0,843971631;0,861764706
Y/Lgr;219;209;150;;0,143719807;0,485915493;0,721568627
Y/L;241;201;94;;0,120903955;0,84045584;0,655882353
Y/Gr;159;145;107;;0,121794872;0,213114754;0,521568627
Y/Dl;143;124;65;;0,127136752;0,376811594;0,405882353
Y/Dp;158;137;21;;0,140510949;0,765363128;0,350980392
Y/Dk;108;92;25;;0,133534137;0,62406015;0,260784314
Y/Dgr;68;58;25;;0,129844961;0,467391304;0,180392157
GY/V;172;205;35;;0,19941349;0,711899791;0,469607843
GY/S;157;184;22;;0,194958848;0,786407767;0,403921569
GY/B;175;208;47;;0,200828157;0,633858268;0,498039216
GY/P;218;228;107;;0,181069959;0,692307692;0,655882353
GY/Vp;245;241;186;;0,154061625;0,748427673;0,844117647
GY/Lgr;204;210;160;;0,185185185;0,352313167;0,724509804
GY/L;187;206;95;;0,195324284;0,527446301;0,589215686
